 INFO] [1682683816.132307264]: Angular Velocity: -1.726947
[ INFO] [1682683816.142102337]: Angular Velocity: -1.843920
[ INFO] [1682683816.152127702]: Angular Velocity: -1.843920
[ INFO] [1682683816.162025485]: Angular Velocity: -1.934302
[ INFO] [1682683816.172577339]: Angular Velocity: -1.934302
[ INFO] [1682683816.182794323]: Angular Velocity: -2.061975
[ INFO] [1682683816.192326473]: Angular Velocity: -2.201722
[ INFO] [1682683816.203168655]: Angular Velocity: -2.201722
[ INFO] [1682683816.212041421]: Angular Velocity: -2.305081
[ INFO] [1682683816.222442619]: Angular Velocity: -2.449172
[ INFO] [1682683816.232223833]: Angular Velocity: -2.449172
[ INFO] [1682683816.242995791]: Angular Velocity: -2.560181
[ INFO] [1682683816.252745803]: Angular Velocity: -2.713372
[ INFO] [1682683816.262250933]: Angular Velocity: -2.713372
[ INFO] [1682683816.272036715]: Angular Velocity: -2.831249
[ INFO] [1682683816.282994767]: Angular Velocity: -2.831249
[ INFO] [1682683816.292336859]: Angular Velocity: -2.951745
[ INFO] [1682683816.302761238]: Angular Velocity: -3.115142
[ INFO] [1682683816.312026940]: Angular Velocity: -3.115142
[ INFO] [1682683816.322597912]: Angular Velocity: -3.240664
[ INFO] [1682683816.332429586]: Angular Velocity: -3.408547
[ INFO] [1682683816.343449528]: Angular Velocity: -3.408547
[ INFO] [1682683816.352022029]: Angular Velocity: -3.537357
[ INFO] [1682683816.362400026]: Angular Velocity: -3.707018
[ INFO] [1682683816.372018700]: Angular Velocity: -3.707018
[ INFO] [1682683816.382293140]: Angular Velocity: -3.837075
[ INFO] [1682683816.392180256]: Angular Velocity: -3.837075
[ INFO] [1682683816.402798023]: Angular Velocity: -3.967033
[ INFO] [1682683816.412371305]: Angular Velocity: -4.134122
[ INFO] [1682683816.423351656]: Angular Velocity: -4.134122
[ INFO] [1682683816.432995883]: Angular Velocity: -4.262221
[ INFO] [1682683816.442166250]: Angular Velocity: -4.262221
[ INFO] [1682683816.452146971]: Angular Velocity: -4.424029
[ INFO] [1682683816.462664978]: Angular Velocity: -4.585993
[ INFO] [1682683816.472777516]: Angular Velocity: -4.585993
[ INFO] [1682683816.482747604]: Angular Velocity: -4.706895
